wrclmch,prtcleat,anweight,party_feel_closest
1.0,5.0,0.28631225,left
0.5,66.0,1.3238645,none
0.5,66.0,0.14837846,none
0.0,66.0,0.13539863,none
0.0,1.0,0.055122692,middle left
0.5,66.0,1.3238642,none
-0.5,66.0,0.22762254,none
0.5,1.0,0.12923826,middle left
0.5,66.0,0.17554021,none
0.0,66.0,0.45086157,none
-0.5,7.0,0.66124743,middle right
-0.5,66.0,0.19830987,none
0.5,66.0,1.3238643,none
0.5,66.0,0.09577179,none
0.0,66.0,1.2143338,none
0.0,66.0,0.29891464,none
0.5,66.0,0.6975137,none
0.0,2.0,0.042226527,middle right
0.0,66.0,0.18767118,none
-0.5,2.0,0.14777084,middle right
0.0,66.0,0.18054458,none
0.5,66.0,0.095651016,none
0.5,1.0,0.35108042,middle left
0.0,1.0,0.10487097,middle left
0.0,2.0,0.19763449,middle right
0.5,1.0,0.75496703,middle left
0.0,66.0,0.15526402,none
-0.5,66.0,0.2890063,none
0.0,66.0,0.07771961,none
-0.5,2.0,0.35303208,middle right
0.5,66.0,0.07867683,none
0.5,66.0,0.19154358,none
0.0,2.0,0.07182691,middle right
0.5,66.0,1.0996906,none
-0.5,66.0,0.32620826,none
0.0,66.0,0.29859263,none
1.0,5.0,0.08073391,left
-0.5,66.0,0.05146658,none
0.0,66.0,0.2882518,none
0.0,66.0,0.32005274,none
0.0,66.0,0.9169618,none
0.0,66.0,0.29966998,none
1.0,1.0,0.64409244,middle left
-1.0,3.0,0.28490525,right
0.0,3.0,0.1676253,right
0.0,66.0,0.16872005,none
-0.5,1.0,0.9663104,middle left
0.0,66.0,0.79804116,none
0.0,66.0,0.055206582,none
0.0,66.0,0.3576887,none
0.0,66.0,0.12160441,none
1.0,66.0,1.3238643,none
0.0,66.0,0.69403243,none
-0.5,66.0,0.08135064,none
0.0,66.0,0.19209859,none
0.0,66.0,0.09465399,none
0.0,66.0,0.24013658,none
1.0,66.0,0.5202727,none
0.5,66.0,0.2721703,none
0.5,66.0,0.46657804,none
0.0,2.0,0.055122692,middle right
0.5,66.0,0.45607427,none
0.5,66.0,0.08184654,none
0.0,66.0,0.106591724,none
1.0,66.0,0.043386362,none
0.0,1.0,0.24320082,middle left
0.0,66.0,1.3238643,none
-0.5,5.0,0.46656498,left
0.0,5.0,0.35935262,left
